name,Product_details,price,rate,image
Joc Bluetooth FM Radio - USB - Memory - Red - H798BT,Free delivery to 6th of October,EGP 239.00,5 out of 5,
ZD666 Ring Fill Light 26 CM For Professional Photography,+ shipping from EGP 10.83 to 6th of October,EGP 125.00,0 out of 5,
Joc FM Radio - USB - Memory - Red,+ delivery from EGP 22.23 (free delivery if order above EGP 200.00) to 6th of October,EGP 159.00,4.5 out of 5,
Skyline 32-22A - 32-inch HD LED TV,Free delivery to 6th of October,"EGP 3,499.00",4.6 out of 5,
607 Radio - Black,+ shipping from EGP 22.23 to 6th of October,EGP 220.00,4.5 out of 5,
Samsung UA43AU7000 - 43-inch Crystal UHD 4K Smart TV With Built In Receiver,+ shipping from EGP 172.14 to 6th of October,"EGP 8,999.00",0 out of 5,
Leoch 12 V 2.3 Ah Lead-acid Rechargeable Battery,+ shipping from EGP 10.83 to 6th of October,EGP 429.00,5 out of 5,
Nikai NE43LED3 43 Inch Full HD LED TV,+ shipping from EGP 172.14 to 6th of October,"EGP 5,399.00",0 out of 5,
Lemonda Airpro Multi-function Smart Watch & Temperature Monitoring- Black,+ shipping from EGP 10.83 to 6th of October,"EGP 1,200.00",0 out of 5,
Leotec 2009 Classic Radio - High Signal - Brown,+ shipping from EGP 22.23 to 6th of October,EGP 290.00,4.5 out of 5,
Mini Radio - Black,+ shipping from EGP 22.23 to 6th of October,EGP 229.00,4.4 out of 5,
Silicone Protective Case For Huawei Freebuds 5i 2023 – Black,+ shipping from EGP 10.83 to 6th of October,EGP 75.00,0 out of 5,
F&D PA300 100 Watt Wireless Bluetooth Party Speaker + Mic (Black),+ shipping from EGP 22.23 to 6th of October,"EGP 8,777.00",5 out of 5,
XIAOMI Mi Android TV Stick And Bluetooth Remote With Google Assistant - Global - Black,+ shipping from EGP 10.83 to 6th of October,"EGP 1,679.90",4.4 out of 5,
Grouhy GLD43SA - 43-inch Full HD LED Smart TV,Free delivery to 6th of October,"EGP 7,299.00",5 out of 5,
Skyline HD-222 IV Mini HD Satellite Receiver,Free delivery to 6th of October,EGP 330.00,4.3 out of 5,
Ring Light 26cm For Professional Photography + 210 CM Adjustable Tripod Stand,+ shipping from EGP 10.83 to 6th of October,EGP 169.00,4.2 out of 5,
Fox SA-K007 Wall Mount For 26 To 55-inch LED/LCD TV Screens,+ delivery from EGP 10.83 (free delivery if order above EGP 200.00) to 6th of October,EGP 55.00,3.8 out of 5,
Selfie Light Ring - 26 Cm With Stand - 210 Cm For Camera & Phone For Tiktok,+ shipping from EGP 10.83 to 6th of October,EGP 171.00,4.2 out of 5,
M33 Ring Light 14 Inch - 33 CM - With Light Control Button + 2 Meter Tripod - White/Black,+ shipping from EGP 10.83 to 6th of October,EGP 229.00,3.9 out of 5,
Castle (AC 2132) 32 Inch LED Screen,Free delivery to 6th of October,"EGP 3,499.00",0 out of 5,
LED Mini Portable Projector Home Entertainment Projetor - Yellow+black,+ shipping from EGP 10.83 to 6th of October,"EGP 1,499.00",2 out of 5,
ATA ATA43FON - 43-inch Full HD TV,Free delivery to 6th of October,"EGP 5,699.00",3.6 out of 5,
AirPods Pro Cover With Keychain - Black,+ delivery from EGP 10.83 (free delivery if order above EGP 200.00) to 6th of October,EGP 39.00,3.9 out of 5,
LG 60UQ79006LD � 60 Inch 4K UHD Smart LED TV with Built-in Receiver,+ shipping from EGP 172.14 to 6th of October,"EGP 14,399.00",0 out of 5,
Lemonda S11 Multi-function Smart Watch - Silver,+ shipping from EGP 10.83 to 6th of October,EGP 999.00,0 out of 5,
Speaker Blue Tooth Wireless -model GT 112 - Color Black,+ shipping from EGP 22.23 to 6th of October,EGP 135.00,4 out of 5,
Joc Digital FM Radio - Red,+ shipping from EGP 22.23 to 6th of October,EGP 170.00,4.9 out of 5,
Cleaner Kit For Airpods Pro 1 2 Multi-Function Cleaning Pen Soft Brush For Bluetooth Earphones Case Cleaning Tools For Lego Huawei Samsung MI Earbuds,+ shipping from EGP 10.83 to 6th of October,EGP 73.99,4.1 out of 5,
Golon 608 Radio Classic Mini Electric - Brown,+ shipping from EGP 22.23 to 6th of October,EGP 220.00,0 out of 5,
ATA ATA 32HON-ATA32F118-P - 32-inch HD TV,Free delivery to 6th of October,"EGP 3,499.00",4.3 out of 5,
Golon 608-Classic Mini Electric Radio- Black + Free Mobile Holder Wood,Free delivery to 6th of October,EGP 277.00,4.4 out of 5,
ATA ATA43FOS - 43-inch Full HD Smart TV,+ shipping from EGP 172.14 to 6th of October,"EGP 6,199.00",4.2 out of 5,
"X8 Plus Ultra Smart Watch 2.08 Inch NFC Bluetooth, Wireless 49mm _ Copper",+ shipping from EGP 10.83 to 6th of October,"EGP 1,199.00",0 out of 5,
F&D F550X 2.1 Subwoofer Speaker Bluetooth - Black,+ shipping from EGP 22.23 to 6th of October,"EGP 2,888.00",4.2 out of 5,
Bingozones B2 Bluetooth Headphones V5.0+EDR Gray,+ shipping from EGP 52.44 to 6th of October,EGP 650.00,5 out of 5,
"X8 Ultra Smart Watch 2.8 Inch, Wireless Charging, NFC- Silver",+ shipping from EGP 10.83 to 6th of October,EGP 799.00,0 out of 5,
Touch Control Wireless Bluetooth Led Speaker - White,+ shipping from EGP 22.23 to 6th of October,EGP 131.57,3.8 out of 5,
Forex Shredder Machine Forex 2345S,+ shipping from EGP 10.83 to 6th of October,"EGP 19,000.00",0 out of 5,
Camera Digital Kids Children Instant Camera - Pink,+ shipping from EGP 10.83 to 6th of October,EGP 400.00,3.9 out of 5,
Syinix 32E4M 32 Inch HD LED TV,Free delivery to 6th of October,"EGP 3,599.00",5 out of 5,
Wireless Headset M10 Earbuds With Power Bank,+ shipping from EGP 52.44 to 6th of October,EGP 349.00,0 out of 5,
LG 43UQ75006 - UQ7500 Series UHD 4K Cinema Screen Design 4K Active HDR WebOS Smart AI ThinQ TV - 43 Inch - New 2022,Free delivery to 6th of October,"EGP 9,300.00",0 out of 5,
Jiabao Battery Charger Aa/Aaa + Set Of Batteries - 4 Pcs,+ shipping from EGP 10.83 to 6th of October,EGP 182.88,4.1 out of 5,
Golon 607-Classic Mini Electric Radio - Black + Free Mobile Holder Wood,Free delivery to 6th of October,EGP 277.00,4.5 out of 5,
XIAOMI Mi Box S 4K Ultra HD 2GB/8GB TV Box - Black,+ shipping from EGP 10.83 to 6th of October,"EGP 2,699.90",5 out of 5,
Ezviz TY2 Full HD 1080P WiFi IP Surveillance Camera 360 Degrees Rotating Smart Night Vision,+ shipping from EGP 10.83 to 6th of October,"EGP 1,039.00",0 out of 5,
Joc Digital Fm Radio - Red,+ shipping from EGP 22.23 to 6th of October,EGP 153.56,4.8 out of 5,
Silicone Case Protect Cover Anti-scratch Sleeve Fit Oraimo FreePods 3 - Black,+ shipping from EGP 10.83 to 6th of October,EGP 79.00,5 out of 5,
Ring Fill Light For Professional Photography + 225 CM Adjustable Tripod Stand,+ shipping from EGP 10.83 to 6th of October,EGP 288.00,4.1 out of 5,
Joc Bluetooth FM Radio - USB - Memory - Red,+ shipping from EGP 22.23 to 6th of October,EGP 285.00,4.3 out of 5,
Samsung UA40T5300 - 40-inch Full HD Smart TV With Built-In Receiver,Free delivery to 6th of October,"EGP 8,099.00",4.1 out of 5,
